id,SMILES,bp_K,ValidMol,RDKit_InChIKey,MolWt,ExactMolWt,MolLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,RingCount,AromaticRingCount,AliphaticRingCount,HeterocycleCount,FractionCarbonSP3,HeavyAtomCount,HeteroatomCount,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge
1799,Cc1ccc(cc1C)N(=O)=O,527.25,True,HFZKOYWDLDYELC-UHFFFAOYSA-N,151.165,151.063328528,2.21164,43.14,0,2,1,1,1,0,0,0.25,11,3,58,0,0.26920716043895154,-0.25830949246734247
1800,Clc1ccc(cc1Cl)N(=O)=O,529.25,True,NTBYINQTYWZXLH-UHFFFAOYSA-N,192.00099999999998,190.954083696,2.901600000000001,43.14,0,2,1,1,1,0,0,0.0,11,5,58,0,0.2705217811246272,-0.258308876852088
1801,CC(C)c1cc(C(C)C)ccc1,476.45,True,UNEATYXSUBPPKP-UHFFFAOYSA-N,162.27599999999998,162.140850576,3.9334000000000024,0.0,0,0,2,1,1,0,0,0.5,12,0,66,0,-0.02187211213655896,-0.06169969746112259
1802,ClC(=O)c1cc(C(Cl)=O)ccc1,549.25,True,FDQSRULYDNDXQB-UHFFFAOYSA-N,203.024,201.958834728,2.4446000000000003,34.14,0,2,2,1,1,0,0,0.0,12,4,62,0,0.2519099133388156,-0.2756145984999215
1803,O=N(=O)c1cc(ccc1)N(=O)=O,576.05,True,WDCYWAQPCXBPJA-UHFFFAOYSA-N,168.10799999999995,168.017106608,1.503,86.28,0,4,2,1,1,0,0,0.0,12,6,62,0,0.27580108571268735,-0.258305978673261
1804,CCCC(CCC)C(O)=O,492.75,True,NIJJYAXOARWZEE-UHFFFAOYSA-N,144.214,144.115029752,2.2874,37.3,1,1,5,0,0,0,0,0.875,10,2,60,0,0.3059867788595576,-0.4810264638850934
1805,CC(C=O)c(cc1)ccc1C,497.25,True,JTZWVKUZBNHSSW-UHFFFAOYSA-N,148.20499999999996,148.088815004,2.2974200000000007,17.07,0,1,2,1,1,0,0,0.3,11,1,58,0,0.12666594918211613,-0.3027240236051635
1806,COC(=O)c(cc1)ccc1C,495.75,True,QSSJZLPUHJDYKF-UHFFFAOYSA-N,150.17699999999996,150.06807956,1.78162,26.3,0,2,1,1,1,0,0,0.2222222222222222,11,2,58,0,0.3373417638630558,-0.4654175213296152
1807,COC(=O)c(cc1)ccc1O,543.75,True,LXCFILQKKLGQFO-UHFFFAOYSA-N,152.14899999999997,152.047344116,1.1787999999999998,46.53,1,3,1,1,1,0,0,0.125,11,3,58,0,0.33734605193325357,-0.5079661787854562
1808,CC1CCC(C(C)C)CC1,444.15,True,CFJYNSNXFXLKNS-UHFFFAOYSA-N,140.26999999999998,140.15650064,3.468700000000003,0.0,0,0,1,1,0,1,0,1.0,10,0,60,0,-0.039090626171309276,-0.06250937088481517
1809,CC(C)C(CC=C1C)=CC1,456.25,True,YKFLAYDHMOASIY-UHFFFAOYSA-N,136.23799999999997,136.125200512,3.308900000000002,0.0,0,0,1,1,0,1,0,0.6,10,0,56,0,-0.013345427061797126,-0.08122260922191826
